iPad Name,iPad ID,Access Point ID,Signal Strength,Access Point x,Access Point y,dist_pred,x_pred,y_pred
Carmel,0452f360ef9f,b45d50f65110,19,20.0256633759,53.4344863892,21.146832135494765,38.61488927573511,55.06556518117923
Carmel,0452f360ef9f,b45d50f806d0,29,32.0637397766,53.8243293762,13.846028608800783,38.61488927573511,55.06556518117923
Carmel,0452f360ef9f,b45d50f81bb0,9,48.2083854675,55.9073295593,28.447635662188745,38.61488927573511,55.06556518117923
Joshua Tree,0452f36c3d9d,b45d50f64bd0,20,89.6215591431,29.4537391663,20.416751782825365,71.85973350902174,29.2570095385519
Joshua Tree,0452f36c3d9d,b45d50f64ed0,39,76.1945114136,29.5098209381,6.5452250821068,71.85973350902174,29.2570095385519
Joshua Tree,0452f36c3d9d,b45d50f65390,29,64.111328125,29.1711883545,13.846028608800783,71.85973350902174,29.2570095385519
Lake Tahoe,0452f3641b87,b45d50f646d0,22,4.60949039459,18.6379108429,18.95659107748657,,
Lake Tahoe,0452f3641b87,b45d50f64a90,21,25.388923645,18.5735969543,19.686671430155968,,
Lake Tahoe,0452f3641b87,b45d50f64bd0,12,89.6215591431,29.4537391663,26.257394604180554,,
Lake Tahoe,0452f3641b87,b45d50f64db0,20,14.3801593781,18.5735969543,20.416751782825365,,
Lake Tahoe,0452f3641b87,b45d50f65130,16,39.3612632751,18.0091075897,23.33707319350296,,
Lake Tahoe,0452f3641b87,b45d50f65b70,22,32.0204582214,29.158996582,18.95659107748657,,
Lake Tahoe,0452f3641b87,b45d50f664d0,35,20.0256633759,29.3001174927,9.465546492784394,,
Santa Cruz,0452f36b0ded,b45d50f65810,12,89.5246353149,43.0612258911,26.257394604180554,66.0473328124871,50.36082018897567
Santa Cruz,0452f36b0ded,b45d50f6cb50,21,78.2409439087,45.4913978577,19.686671430155968,66.0473328124871,50.36082018897567
Santa Cruz,0452f36b0ded,b45d50f81bb0,18,48.2083854675,55.9073295593,21.876912488164162,66.0473328124871,50.36082018897567
Santa Cruz,0452f36b0ded,b45d50f84630,17,71.991317749,55.9073295593,22.606992840833563,66.0473328124871,50.36082018897567
Santa Cruz,0452f36b0ded,b45d50f871b0,18,58.7977485657,55.5601615906,21.876912488164162,66.0473328124871,50.36082018897567
Santa Cruz,0452f36b0ded,b45d50f94170,31,65.915435791,45.1442298889,12.385867903461985,66.0473328124871,50.36082018897567
Santa Cruz,0452f36b0ded,b45d50f94310,18,53.9371032715,45.4913978577,21.876912488164162,66.0473328124871,50.36082018897567
